#######################################
# statdisp.dat                        #
# selects when to show messages based #
# on stat values in the game          #
#######################################

# note - numbers on left hand (stat_num) must align up with numbers in STAT_VAR_CONSOLE_REF.TXT in "sa_docs" dir in AB

# stat_num  - unique stat id
# stat_name - name of stat (for reference)
# condition - this can be lessthan/morethan
# value     - value stat must reach to display message
# text_id   - text id from american.gxt text file to display

# stat text names - S - stat 
#						W - Weapon (PI - pistol, ) (ST - Standard, PR - Pro)
#						ST - Stamina (0 to 9 -level)
#						SK	- Skill	(0 to 9 -level) 
#						BO -  BODY 
###################################################################################

#stat_num	stat_name						condition	value	text_id
#========	=========      	 				=========   =====   =======

WEAPON	PISTOL								morethan	800		SW_R0
WEAPON	PISTOL								morethan	999		SW_PR0

WEAPON	PISTOL_SILENCED						morethan	200		SW_T
WEAPON	PISTOL_SILENCED						morethan	400		SW_T
WEAPON	PISTOL_SILENCED						morethan	500		SW_ST1
WEAPON	PISTOL_SILENCED						morethan	600		SW_R1
WEAPON	PISTOL_SILENCED						morethan	800		SW_R1
WEAPON	PISTOL_SILENCED						morethan	999		SW_PR1

WEAPON	DESERT_EAGLE						morethan   	200		SW_ST1
WEAPON	DESERT_EAGLE						morethan	400		SW_R1
WEAPON	DESERT_EAGLE						morethan	600		SW_R1
WEAPON	DESERT_EAGLE						morethan	800		SW_R1
WEAPON	DESERT_EAGLE						morethan   	999		SW_PR1

WEAPON	SHOTGUN								morethan   	200		SW_ST1
WEAPON	SHOTGUN								morethan	400		SW_R1
WEAPON	SHOTGUN								morethan	600		SW_R1
WEAPON	SHOTGUN								morethan	800		SW_R1
WEAPON	SHOTGUN								morethan   	999		SW_PR1

WEAPON	SAWNOFF								morethan   	200		SW_ST2
WEAPON	SAWNOFF								morethan	400		SW_R0
WEAPON	SAWNOFF								morethan	600		SW_R0
WEAPON	SAWNOFF								morethan	800		SW_R0
WEAPON	SAWNOFF								morethan   	999		SW_PR0

WEAPON	SPAS12								morethan   	200		SW_ST3
WEAPON	SPAS12								morethan	400		SW_R1
WEAPON	SPAS12								morethan	600		SW_R1
WEAPON	SPAS12								morethan	800		SW_R1
WEAPON	SPAS12								morethan   	999		SW_PR2

WEAPON	MICRO_UZI							morethan 	50		SW_ST4
WEAPON	MICRO_UZI							morethan   	200		SW_R0
WEAPON	MICRO_UZI							morethan	400		SW_R0
WEAPON	MICRO_UZI							morethan	600		SW_R0
WEAPON	MICRO_UZI							morethan	800		SW_R0
WEAPON	MICRO_UZI							morethan 	999		SW_PR0

WEAPON	MP5									morethan 	250		SW_ST5
WEAPON	MP5									morethan	400		SW_R1
WEAPON	MP5									morethan	600		SW_R1
WEAPON	MP5									morethan	800		SW_R1
WEAPON	MP5									morethan 	999		SW_PR3

WEAPON	AK47								morethan  	200		SW_ST5
WEAPON	AK47								morethan	400		SW_R1
WEAPON	AK47								morethan	600		SW_R1
WEAPON	AK47								morethan	800		SW_R1
WEAPON	AK47								morethan 	999		SW_PR3

WEAPON	M4									morethan  	200		SW_ST5
WEAPON	M4									morethan	400		SW_R1
WEAPON	M4									morethan	600		SW_R1
WEAPON	M4									morethan	800		SW_R1
WEAPON	M4									morethan 	999		SW_PR3

WEAPON	SNIPERRIFLE							morethan   	200		SW_T
WEAPON	SNIPERRIFLE							morethan 	300		SW_ST6
WEAPON	SNIPERRIFLE							morethan	400		SW_R1
WEAPON	SNIPERRIFLE							morethan	600		SW_R1
WEAPON	SNIPERRIFLE							morethan	800		SW_R1
WEAPON	SNIPERRIFLE							morethan	999	   	SW_PR4


81		GAMBLING							morethan	1		SGPUNT
81		GAMBLING							morethan	10		SGGAMB
81		GAMBLING							morethan	100		SGPROF
81		GAMBLING							morethan	999		SGHIRO

163		HEALTH	 		  					morethan	20		SHESPT0
163		HEALTH	 		  					morethan	200		SHESPT0
163		HEALTH	 							morethan	400		SHESPT0
163		HEALTH	 							morethan	600		SHESPT0
163		HEALTH	 							morethan	800		SHESPT0
163		HEALTH	 							morethan	999		SHESPT1


###################################################################################

# -eof-
