#
# filename:		shopping.dat
# description:	File which has every object's price in it. The file is
#				broken into sections by type of object eg car mod, furniture
# Author: B1ack_Wh1te

section prices

	section CarMods

# TransFender
	# Bonnet
		#name,			nametag,	price
		exh_a_st		STRAE		830
		exh_c_st		STRCE		720
		fbmp_a_st		STRAFF		1030
		fbmp_c_st		STRCFF		930
		rbmp_a_st		STRARF		1030
		rbmp_c_st		STRCRF		920
		rf_a_st			STRARV		230
		rf_c_st			STRCRV		180
		spl_a_st_r		STRAS		620
		spl_c_st_r		STRCS		530
		wg_l_a_st		STRASI 		520
		wg_l_c_st		SRTCSI		430

	# SULTAN
	   	exh_a_s		  	SULAE		770
		exh_c_s			SULCE		680
		fbmp_a_s		SULAFF		970
		fbmp_c_s		SULCFF  	880
		rbmp_a_s		SULARF		980
		rbmp_c_s		SULCRF		870
		rf_a_s			SULARV		170
		rf_c_s			SULCRV		120
		spl_a_s_b		SULAS		580
		spl_c_s_b		SULCS		470
	   	wg_l_a_s		SULASI		480
		wg_l_c_s		SULCSI		370

	# URANUS
		exh_a_u			URAAE		750
		exh_c_u			URACE		650
		fbmp_a_u		URAAFF		950
		fbmp_c_u		URACFF		850
		rbmp_a_u		URAARF		950
		rbmp_c_u		URACRF		850
		rf_a_u			URAARV		150
		rf_c_u			URACRV		100
		spl_a_u_b		URAAUB		550
		spl_c_u_b		URACUB		450
		wg_l_a_u		URAASI		450
		wg_l_c_u		URACSI		350

# Loco Low Co.
	# BLADE
		rf_lr_bl1		BLDVH		3340
		rf_lr_bl2		BLDCR		3250
		rbmp_lr_bl1 	BLDRF1		2150
		rbmp_lr_bl2		BLDRF2		2040
		fbmp_lr_bl1		BLDFF1 		2130
		fbmp_lr_bl2		BLDFF2		2050
		exh_lr_bl1		BLDE1		1610
		exh_lr_bl2		BLDE2   	1540
		wg_l_lr_bl1		BLDCS   	780

	# REMMINGTON
		exh_lr_rem1		REME1		3340
		exh_lr_rem2		REME2		3250
		fbmp_lr_rem1	REMFF1		2150
		fbmp_lr_rem2	REMFF2		2040
		rbmp_lr_rem1	REMRF1	   	2130
		rbmp_lr_rem2	REMRF2		2050
		wg_l_lr_rem1	REMCA		780
		wg_l_lr_rem2	REMCA2		780
		misc_a_lr_rem1	REMCG		940
		misc_b_lr_rem2	REMCB		860
		misc_c_lr_rem3	REMCL		1120

	# SAVANNA
		rf_lr_sv1		SAVHA		3380
		rf_lr_sv2		SAVST		3290
		fbmp_lr_sv1		SAVFF1		2200
		fbmp_lr_sv2		SAVFF2		2080
		rbmp_lr_sv1		SAVRF1		2175
		rbmp_lr_sv2		SAVRF2		2095
		exh_lr_sv1		SAVEX1		1650
		exh_lr_sv2		SAVEX2		1590
	   	wg_l_lr_sv		SAVCS		830

	# BROADWAY
		exh_lr_br1		BRDEXH1		500
		exh_lr_br2		BRDEXH2		500
		fbmp_lr_br1		BRDFBM1		1000
		fbmp_lr_br2		BRDFBM2		900
		rbmp_lr_br1		BRDRBM1		1000
		rbmp_lr_br2		BRDRBM2		900
		wg_l_lr_br1		BRDWNG1		1000

	# SLAMVAN
		exh_lr_slv1		SLAE1		3340
		exh_lr_slv2		SLAE2		3250
		fbmp_lr_slv1	SLAFF	   	2040
		fbb_lr_slv1		SLAFB1		2130
		fbb_lr_slv2		SLAFB2		2050
		bbb_lr_slv1		SLARB1		1610
		bbb_lr_slv2		SLARB2		1540
		wg_l_lr_slv1	SLACT		780
		wg_l_lr_slv2	SLAWC		940

	# TORNADO
		exh_lr_t1		TOREX1		1000
		exh_lr_t2		TOREX2		1500
		fbmp_lr_t1		TORFB1		1040
		fbmp_lr_t2		TORFB2		1200
		rbmp_lr_t1		TORRB1		940
		rbmp_lr_t2		TORRB2		1100
		wg_l_lr_t1		TORWNG		800

# Other tuning
	# Wheels
		wheel_sr1		SRW1		1030
		wheel_sr2		SRW2		980
		wheel_lr1		LRDW1   	1620
		wheel_lr2		LRDW2		1560
		wheel_gn1		GENWH1		820
		wheel_gn2		GENWH2		770
		wheel_sr3		SRW3		1030
		wheel_sr4		SRW4		1230
		wheel_sr5		SRW5		900
		wheel_sr6		SRW6		1100
		wheel_lr3		LRDW3		1200
		wheel_lr4		LRDW4		1560
		wheel_lr5		LRDW5		1350
		wheel_or1		GENWH6		1000
		wheel_gn3		GENWH3		1000
		wheel_gn4		GENWH4		620
		wheel_gn5		GENWH5		1140
	# Stereo
		stereo			STEREO		100
	# Hydralics
		hydralics		HYDRAU		1500
	# Nitro
		nto_b_l		   	BMBLN		500
		nto_b_s			BMBSM		200
		nto_b_tw   		BMBTN		1000
	end

	section Clothes
		#type is a number and can be one of the following
		# 0 = torso cant go over 25 for stats
		# 2 = legs cant go over 10 for stats
		# 3 = shoes cant go over 5 for stats
		# 13 = necklace cant go over 2 for stats
		# 14 = bracelet/watch cant go over 3 for stats
		# 15 = glasses cant go over 2 for stats
		# 16 = hats cant go over 3 for stats
		# 17 = special
		# 19 = gloves
		# 20 = masks
		# 21 = earring
		# 22 = bag

# TORSO
	# DEFUALT PLAYER TORSO
		#texturename,		nametag,	modelname,	type,	stats to change,		price
		player_torso		TORSO		torso		0		respect 5 	sexy 20		0

	# BINCO TORSO
		vestblack			VESTA		vest		0		respect 2 	sexy 3		10
		vest				VESTWH		vest		0		respect 2 	sexy 3		10
		tshirt2horiz        TSRTHS1     tshirt2		0		respect 0 	sexy 0		10
		tshirtwhite			TSHIRTC		tshirt		0		respect 0 	sexy 0		15
		tshirtilovels		LOVETS1		tshirt		0		respect 0 	sexy 0		10
		tshirtblunts		TSHIRTA		tshirt		0		respect 2 	sexy 0		20
		shirtbplaid			SHIRTBB		shirtb		0		respect 3 	sexy 0		20
		shirtbcheck			CHEKSH1		shirtb		0		respect 3 	sexy 0		20
		field				FIELDA		field		0		respect 10 	sexy 0		30
		tshirterisyell  	ERSTSH1		tshirt		0		respect 15 	sexy 7		35
		tshirterisorn		ERISTS2		tshirt		0		respect 5 	sexy 7		35
		trackytop2eris		TRAKER1		trackytop1	0		respect 5 	sexy 9		70

	# PRO-LAPS TORSO
		bbjackrim       	BASJCT2     bbjack		0		respect 10 	sexy 5		150
		bballjackrstar		BASJCT3     bbjack		0		respect 10 	sexy 5		200
		baskballdrib		BASKA		baskball	0		respect 7 	sexy 5		30
		baskballrim			BASKC		baskball	0		respect 7 	sexy 5		30
		sixtyniners			TSHRT69		tshirt		0		respect 7 	sexy 5		50
		bandits				BANDITS		baseball    0		respect 7   sexy 5      70
		tshirtprored		PROSHRD		tshirt		0		respect 7 	sexy 10		50
		tshirtproblk		PROTSH1		tshirt		0		respect 7 	sexy 10		50
	    trackytop1pro		TRAKPR1		trackytop1	0		respect 10 	sexy 15		85
	    hockeytop			HCKYTOP		sweat		0       respect 5   sexy 2		150
		bbjersey			BBJERY1		sleevt		0		respect 10  sexy 5		80
		shellsuit			SHELSUT		trackytop1	0		respect 0   sexy 0		30

	# SUB URBAN TORSO
	    tshirtheatwht		HEATSH1		tshirt		0		respect 5 	sexy 0		35
		tshirtbobomonk		TSHRBO1		tshirt		0		respect 17 	sexy 13		115
		tshirtbobored		TSHRBO2		tshirt		0		respect 12 	sexy 12		80
		tshirtbase5			TSRTBA1		tshirt		0		respect 15 	sexy 12		80
		tshirtsuburb		TSRTSB1		tshirt		0		respect 15 	sexy 10		60
		hoodyamerc			HODMRC1		hoodya		0		respect 15 	sexy 10		70
		hoodyabase5			HODBSE1		hoodya		0		respect 20 	sexy 14		105
		hoodyarockstar		HODRST1		hoodya		0		respect 17 	sexy 15		120
		wcoatblue			WCOATA		wcoat		0		respect 0 	sexy 0		30
		coach				COACHA		coach		0		respect 15 	sexy 5		30
		coachsemi			COACHB		coach		0		respect 5 	sexy 5		30
		sweatrstar			RSTRSWE		sweat		0		respect 10 	sexy 10		60

	# ZIP TORSO
		hoodyAblue			HOODB		hoodyA		0		respect 5 	sexy 5 		65
		hoodyAblack			HOODBL		hoodyA		0		respect 5 	sexy 5 		65
		hoodyAgreen			HOODG		hoodyA		0		respect 15  sexy 5 		45
		sleevtbrown			SLEVB1		sleevt		0		respect 5 	sexy 10	    40
		shirtablue			BSHIRT		shirta		0		respect 7 	sexy 10		40
		shirtayellow		YSHIRT		shirta		0		respect 7 	sexy 10 	40
		shirtagrey			GSHIRT		shirta		0		respect 7 	sexy 10 	40
		shirtbgang			SHTBG1		shirtb		0		respect 15 	sexy 3 		40
	    tshirtzipcrm		TSHZIP1		tshirt		0		respect 0  	sexy 5		35
		tshirtzipgry		TSHZIP2		tshirt		0		respect 0  	sexy 5		35
	    denimfade			DENJCK1		denim		0		respect 10 	sexy 20		90
	    bowling 			BOWLSH1		hawaii 		0		respect 7 	sexy 13		70

	# VICTIM TORSO
		hoodjackbeige		HODJCK1		hoodjack	0		respect 17 	sexy 15		75
		baskballloc			BASKB		baskball	0		respect 5 	sexy 5		300
		tshirtlocgrey		TSHIRTB		tshirt		0		respect 5 	sexy 5		200
		tshirtmaddgrey		TSHRTMG		tshirt		0		respect 5 	sexy 5		30
		tshirtmaddgrn		TSRTMGN		tshirt		0		respect 5 	sexy 5		30
		suit1grey			SUT1GRY		suit1		0		respect 20 	sexy 25		1620
		suit1blk			SUT1BLK		suit1		0		respect 10 	sexy 20		300
		leather        		BIKERJ		leather		0		respect 17 	sexy 15		320
		painter             PAINT1 		painter		0		respect 15 	sexy 10		320
		hawaiiwht			HAWAI1		hawaii		0		respect 7 	sexy 13		200
		hawaiired			HAWAI2		hawaii		0		respect 7 	sexy 13		300
		sportjack			SPRJCT		trackytop1	0		respect	15	sexy 17		450

	# DIDIE SACHS TORSO
		suit1red			SUIT1		suit1		0		respect 23 	sexy 25		4000
		suit1blue			SUIT2		suit1		0		respect 22 	sexy 25		3000
		suit1yellow			SUIT3		suit1		0		respect 25 	sexy 25		6000
		suit2grn 			SUT2GRN		suit2		0		respect 25 	sexy 25		5500
		tuxedo				TUXEDO		suit2		0		respect	20	sexy 25		7000
		suit1gang			SUITGNG		suit1		0		respect 25	sexy 15		5500
		letter				LETTER		sleevt		0		respect 15	sexy 5		1525

# LEGS
	# DEFUALT PLAYER LEGS
		player_legs			LEGS		legs		2		respect 0 	sexy 0		0

	# BINCO LEGS
		worktrcamogrn		WORKA		worktr		2		respect 6 	sexy 1	 	55
		worktrcamogry		WORKB		worktr		2		respect 2 	sexy 1 		55
		worktrgrey			WORKC		worktr		2		respect 0	sexy 1 		55
		worktrkhaki			WORKD		worktr		2		respect 5 	sexy 1 		55
		tracktr				TRABOTA		tracktr		2		respect 3 	sexy 2	 	60
		tracktreris			TRAKERI		tracktr		2		respect 5 	sexy 5 		70
		jeansdenim			JEANSBL		jeans		2		respect 0 	sexy 0 		50
		legsblack			BOXBLK		legs		2		respect 1 	sexy 1 		10
		legsheart			BOXHRT		legs		2		respect 1 	sexy 2 		12
		biegetr				BEITROS		chinosb		2		respect 1 	sexy 0 		35

	# PRO-LAPS LEGS
		tracktrpro			TRACKT1		tracktr		2		respect 5 	sexy 5 		100
		tracktrwhstr		TRACKT2		tracktr		2		respect 5 	sexy 5 		120
		tracktrblue			TRACKT3		tracktr		2		respect 5 	sexy 5 		140
		tracktrgang			TRACKT4		tracktr		2		respect 9 	sexy 2 		40
		bbshortwht	   		BOXSRT1		boxingshort	2		respect 5 	sexy 1 		60
		boxshort			BOXSRT2		boxingshort	2		respect 5 	sexy 1 		60
		bbshortred			BOXSRT3		boxingshort 2		respect 5 	sexy 1 		60
		shellsuittr			SHELBOT		tracktr		2		respect 0 	sexy 0		50

	# SUBURBAN LEGS
		shortsgrey      	SHORT1		shorts		2		respect 0 	sexy 0		30
		shortskhaki     	SHORT2		shorts		2		respect 5 	sexy 0		30
		chongergrey			CHONG1		chonger		2		respect 2 	sexy 1		50
		chongergang			CHONG2		chonger		2		respect 6 	sexy 0		50
		chongerred			CHONG3		chonger		2		respect 6 	sexy 2		50
		chongerblue			CHONG4		chonger		2		respect 2 	sexy 2		50
		shortsgang			SHORT3		shorts		2		respect 0 	sexy 5		30
		denimsgang			DENIM1		jeans		2		respect 15 	sexy 5		60
		denimsred			DENIM2		jeans		2		respect 0 	sexy 0		60

	# ZIP LEGS
		chinosbiege			CHINBIE		chinosb		2		respect 10  sexy 7		150
		chinoskhaki			CHINOK		chinosb		2		respect 10 	sexy 7 		150
		cutoffchinos		CUTCHI		shorts		2		respect 6 	sexy 3 		80
		cutoffchinosblue	CUTCHBU		shorts		2		respect 6 	sexy 3 		80
		chinosblack			CHINO3		chinosb		2		respect 8   sexy 8		150
		chinosblue			CHINO4		chinosb		2		respect 8   sexy 7		150

	# VICTIM LEGS
		leathertr			LEATHA		leathertr	2		respect 8 	sexy 8 	    875
		leathertrchaps		LEATHB		leathertr	2		respect 0 	sexy 0 	    80
		suit1trgrey			SUTR1GR		suit1tr		2		respect 8 	sexy 10 	800
		suit1trblk			SUTR1BL		suit1tr		2		respect 8 	sexy 10 	800
		cutoffdenims		CUTDENM		shorts		2		respect 9 	sexy 7 	    1000

	# DIDIE SACHS LEGS
		suit1trred			SUITTR1		suit1tr		2		respect 9 	sexy 10		2000
		suit1trblue			SUITTR2		suit1tr		2		respect 9 	sexy 10 	2500
		suit1tryellow		SUITTR3		suit1tr		2		respect 10 	sexy 10 	4000
		suit1trgreen		SUTR1GN		suit1tr		2		respect 10 	sexy 10 	3000
		suit1trblk2         SUTR2BL 	suit1tr     2       respect 9   sexy 10     3000
		suit1trgang			SUTRGNG		suit1tr		2		respect 10  sexy 6		1500

# SHOES
	# DEFUALT PLAYER SHOES
		foot				FEET		feet		3		respect 0 	sexy 0		0

	# BINCO SHOES
		cowboyboot2			COWBOT2		biker		3		respect 1 	sexy 2 		100
		bask2semi			BASKBO1		bask1		3		respect 2 	sexy 1 		50
		bask1eris			BASKBO2		bask1		3		respect 3 	sexy 2 		100
		sneakerbincgang		SNKBGAN		sneaker		3		respect 3 	sexy 1 		50
		sneakerbincblu		SNKBBLU		sneaker		3		respect 1 	sexy 1 		50
		sneakerbincblk		SNKBBLK		sneaker		3		respect 1 	sexy 1 		50
		sandal				SANDIL1		flipflop	3		respect 0 	sexy 0 		15
		sandalsock			SANDIL2		flipflop	3		respect 0 	sexy 0 		20
		flipflop			SANDIL3		flipflop	3		respect 0 	sexy 0 		15

	# PRO-LAPS SHOES
		hitop				HITOP		bask1		3		respect 5   sexy 3 		115
		convproblk			CHUBLK		conv		3		respect 3   sexy 2 		70
		convproblu          CONBLUE		conv		3		respect 3  	sexy 2	 	65
		convprogrn			CONGREN		conv		3		respect 5   sexy 2 		60
		sneakerprored		PROTRA1		sneaker		3		respect 2  	sexy 3 		80
		sneakerproblu		PROTRA2		sneaker		3		respect 2  	sexy 2 		75
		sneakerprowht		PROTRA3		sneaker		3		respect 2   sexy 2 		70
		bask1prowht			PROWHT1		bask1		3		respect 4   sexy 2 		70
		bask1problk			PROBLK1		bask1		3		respect 4   sexy 2 		70
		boxingshoe			BOXSHO1		biker		3		respect 0   sexy 0 		70

	# SUB URBAN SHOES
		convheatblk			COHEAT1		conv		3		respect 2 	sexy 1		55
		convheatred			COHEAT2		conv		3		respect 2 	sexy 1		55
		convheatorn			COHEAT3		conv		3		respect 2 	sexy 1		50
		sneakerheatwht		SNHEAT1		sneaker		3		respect 2 	sexy 2		70
		sneakerheatgry		SNHEAT2		sneaker		3		respect 2 	sexy 1		65
		sneakerheatblk		SNHEAT3		sneaker		3		respect 2 	sexy 2		65
		bask2heatwht		BSHEAT1		bask1		3		respect 3 	sexy 2		80
		bask2heatband		BSHEAT2		bask1		3		respect 3 	sexy 2		80

	# ZIP SHOES
		timbergrey			TIMBER1		bask1		3		respect 5 	sexy 5 		125
		timberred			TIMBER2		bask1		3		respect 5 	sexy 5 		135
		timberfawn			TIMBER3		bask1		3		respect 5 	sexy 4 		115
		timberhike			TIMBER4		bask1		3		respect 4 	sexy 2 		110

	# VICTIM SHOES
		cowboyboot			COWBOY  	biker		3		respect 4	sexy 5		500
		biker				BIKEBOT		biker		3		respect 3	sexy 3		145
		snakeskin			SNAKESN		biker		3		respect 5	sexy 5		1000
		
	# DIDIE SACHS SHOES
		shoedressblk		SHOEDR1		shoe		3		respect 5   sexy 5      2500
		shoedressbrn		SHOEDR2		shoe		3		respect 4   sexy 5     	1100
		shoespatz			SHOEDR3		shoe		3		respect 5   sexy 5      350

# CHAINS
	# BINCO CHAINS
		dogtag				DOGTAG		neck		13		respect 1   sexy 0		10
		neckafrica			NECKAFR		neck		13		respect 1   sexy 1		12

	# PRO-LAPS CHAINS
		stopwatch			STOPWAT		neck		13		respect 0   sexy 0		20
		necksaints			NECKSNT		neck		13		respect 1   sexy 0		25

	# SUB URBAN CHAINS
		neckhash			NECKHA		neck    	13		respect 2 	sexy 1		100
		necksilver			NECKCU1		neck2 		13		respect 2 	sexy 2		200
		neckgold			NECKCU2		neck2		13		respect 2 	sexy 2		350

	# ZIP CHAINS
		neckropes			NECKRP1		neck2		13		respect 2 	sexy 1		450
		neckropeg			NECKRP2		neck2		13		respect 2 	sexy 2		550

	# VICTIM CHAINS
		neckls				NECKLS		neck    	13		respect 2 	sexy 0		50

	# DIDIE SACHS CHAINS
		neckdollar			NECKDL		neck    	13		respect 2 	sexy 2		2000
		neckcross			NECKCR		neck    	13		respect 2 	sexy 2		5000

# WATHES
	# BINCO WATCHES
		watchpink			WATCH7		watch		14		respect 0 	sexy 0		15
		watchyellow			WATCH8		watch		14		respect 0 	sexy 0		15

	# PRO-LAPS WATCHES
		watchpro			WATCH3		watch		14		respect 0 	sexy 1		440
		watchpro2			WATCH4		watch		14		respect 1 	sexy 1	    700

	# SUB URBAN WATCHES
		watchsub1			WATCH9		watch		14		respect 1 	sexy 2		70
		watchsub2			WATCH10		watch		14		respect 2 	sexy 2		120

	# ZIP WATHES
		watchzip1			WATCH11		watch		14		respect 2 	sexy 2		100
		watchzip2			WATCH12		watch		14		respect 2 	sexy 2		220

	# VICTIM WATCHES
		watchgno			WATCH2		watch		14		respect 1 	sexy 2		1500
		watchgno2			WATCH5		watch		14		respect 2 	sexy 2		3000

	# DIDIE SACHS WATCHES
		watchcro			WATCH1		watch		14		respect 3 	sexy 3		8000
		watchcro2			WATCH6		watch		14		respect 3 	sexy 3		5000

# GLASSES
	# BINCO GLASSES
		groucho				GROUCH1		grouchos	15      respect 0 	sexy 0		10
		zorro				ZORRO		zorromask	15		respect 0	sexy 0		20
		eyepatch			EYEPCH		eyepatch	15		respect 0 	sexy 0		5

	# PRO-LAPS GLASSES
		glasses01dark		GLASS5		glasses01   15 		respect 1	sexy 1		150
		glasses04dark		GLASS6		glasses04   15 		respect 2	sexy 1		150

	# SUB URBAN GLASSES
		glasses03red		GLASS8		glasses03	15		respect 1	sexy 1		200
		glasses03blue		GLASS9		glasses03	15		respect 1	sexy 1		220

	# ZIP GLASSES
		glasses01			GLASS1		glasses01	15      respect 2 	sexy 2		100
		glasses04			GLASS4		glasses04	15		respect 2	sexy 2		150

	# VICTIM GLASSES
		glasses03			GLASS3		glasses03	15		respect 2	sexy 2		400
		glasses03dark		GLASS7		glasses03	15		respect 2	sexy 2		500

	# DIDIE SACHS GLASSES
		glasses05dark		GLASS10		glasses03	15		respect 1	sexy 2		600
		glasses05			GLASS11		glasses03	15		respect 2	sexy 2		800

# HATS
	# BINCO HATS
		bandred				BANDAN7		bandana		16		respect 1 	sexy 1		25
		bandblue			BANDAN8		bandana		16		respect 1 	sexy 1		25
		bandgang			BANDAN9		bandana		16		respect 3 	sexy 1		25
		bandblack			BANDA10		bandana		16		respect 1 	sexy 1		25
		bandred2			BANDA11		bandknots	16		respect 1 	sexy 1		25
		bandblue2			BANDA12		bandknots	16		respect 1 	sexy 1		25
		bandblack2			BANDA13		bandknots	16		respect 1 	sexy 1		25
		bandgang2			BANDA14		bandknots	16		respect 3 	sexy 1		25
		capknitgrn          CAP25       capknit     16		respect 2 	sexy 0		15
		captruck            CAP26       captruck	16		respect 0 	sexy 0		5
		cowboy				CAP28       cowboy      16      respect 0 	sexy 0		10
		hattiger            CAP29       cowboy	    16      respect 0 	sexy 0		10

	# PRO-LAPS HATS
		helmet				CAP27       helmet		16		respect 0 	sexy 0		150
	   	moto				CAP30		moto		16		respect 0 	sexy 0		100
		boxingcap           CAP15       boxingcap   16		respect 0 	sexy 0		80
		hockey              CAP16       hockeymask	16		respect 2 	sexy 0		40
		capgang				CAP31		cap			16		respect 1 	sexy 0		40
		capgangback			CAP32		capback		16		respect 1 	sexy 0		40
		capgangside			CAP33		capside		16		respect 1 	sexy 0		40
		capgangover			CAP34		capovereye	16		respect 1 	sexy 0		40
		capgangup			CAP35		caprimup	16		respect 1 	sexy 0		40
		bikerhelmet			CAP56		bikerhelmet 16		respect 1	sexy 0		100

	# SUB URBAN HATS
		capred				CAP36		cap			16		respect 1 	sexy 0		40
		capredback			CAP37		capback		16		respect 1 	sexy 0		40
		capredside			CAP38		capside		16		respect 1 	sexy 0		40
		capredover			CAP39		capovereye	16		respect 1 	sexy 0		40
		capredup			CAP40		caprimup	16		respect 1 	sexy 0		40
		capblue				CAP41		cap			16		respect 1 	sexy 0		40
		capblueback			CAP42		capback		16		respect 1 	sexy 0		40
		capblueside			CAP43		capside		16		respect 1 	sexy 0		40
		capblueover			CAP44		capovereye	16		respect 1 	sexy 0		40
		capblueup			CAP45		caprimup	16		respect 1 	sexy 0		40
		skullyblk			CAP57		skullycap	16		respect 1	sexy 0		60
		skullygrn			CAP58		skullycap	16		respect 3	sexy 0		60

	# ZIP HATS
		hatmancblk			MANCBLK		hatmanc		16		respect 2 	sexy 2		20
		hatmancplaid		MANCPLD		hatmanc		16		respect 2 	sexy 2		20
		capzip				CAP46		cap			16		respect 1 	sexy 0		40
		capzipback			CAP47		capback		16		respect 1 	sexy 0		40
		capzipside			CAP48		capside		16		respect 1 	sexy 0		40
		capzipover			CAP49		capovereye	16		respect 1 	sexy 0		40
		capzipup			CAP50		caprimup	16		respect 1 	sexy 0		40

	# VICTIM HATS
		beretred            CAP17       beret		16		respect 1 	sexy 2		900
		beretblk            CAP18       beret		16		respect 1 	sexy 2		900
		capblk				CAP51		cap			16		respect 1 	sexy 0		40
		capblkback			CAP52		capback		16		respect 1 	sexy 0		40
		capblkside			CAP53		capside		16		respect 1 	sexy 0		40
		capblkover			CAP54		capovereye	16		respect 1 	sexy 0		40
		capblkup			CAP55		caprimup	16		respect 1 	sexy 0		40

	# DIDIE SACHS HATS
		trilbydrk			TRIBY1		trilby		16		respect 3 	sexy 2		300
		trilbylght			TRIBY2		trilby		16		respect 3 	sexy 2		300
		bowler				BOWLER1		bowler		16		respect	1	sexy 2		500
		bowlerred			BOWLER2		bowler		16		respect	2	sexy 3		600
		bowlerblue			BOWLER3		bowler		16		respect	2	sexy 2		600
		bowleryellow		BOWLER4		bowler		16		respect	2	sexy 2		700
		boater				BOATHA1		boater		16		respect 3   sexy 2		800
		bowlergang			BOWLER5		bowler		16 		respect 3   sexy 2      550
		boaterblk			BOATHA2		boater		16		respect 3   sexy 2		700

# GLOVES
	# BINCO GLOVES
		gloves				BLFGLOV		hands		19		respect 0   sexy 0		15

# MASKS
	# BINCO MASKS
		bandred3			BANDA15		bandmask	20		respect 1	sexy 0		50
		bandblue3			BANDA16		bandmask	20		respect 1	sexy 0		50
		bandgang3			BANDA17		bandmask	20		respect 2	sexy 0		50
		bandblack3			BANDA18		bandmask	20		respect 1	sexy 0		50

# SPECIAL
		gimpleg				GIMP		gimpleg		17		respect 10 	sexy 10		0
		valet				VALETU		valet		17		respect 0 	sexy 0		0
		countrytr			COUNTRY		countrytr	17 		respect 0 	sexy 0		0
		croupier			CROUP		valet		17 		respect 0 	sexy 15		0
		policetr			POLICE		policetr	17		respect 5 	sexy 10		0
		balaclava			BALACLA		balaclava	17		respect 2 	sexy 0		0
		pimptr				PIMPSUT		pimptr		17      respect 10  sexy 15     0
		garageleg			RDRIVER		garagetr	17		respect 5	sexy 5		0
		medictr				PAMEDIC		medictr		17      respect 15  sexy 10     0
	end

	section Haircuts
		#texturename,	nametag,	modelname,	type,	stats to change,	price
		#type is a number and can be one of the following
		# 1 = hair cant go over 30 for stats
		#
		#texturename,	nametag,	modelname,	type,	stats to change,		price
		player_face     HEAD        head        1 		respect 5   sexy 15     50
		cesar			HEAD		head		1		respect 5   sexy 15     50
		hairblond		BLHAIR		head		1		respect 0   sexy 15     50
		hairred			REDHAIR		head		1		respect 10  sexy 0      200
		hairblue		BLUHAIR		head		1		respect 10  sexy 0      200
		hairgreen		GRNHAIR		head		1		respect 20  sexy 0      200
		hairpink		PNKHAIR		head		1		respect 0   sexy 0      200
		bald			BALD		head		1		respect 10  sexy 20     10
		baldbeard		BLADBEA		head		1		respect 15  sexy 15     50
		baldtash		BALDTSH		head		1		respect 15  sexy 15     25
		baldgoatee		BALDGOT		head		1		respect 15  sexy 10     35
		highfade		HIGHFAD		head		1		respect 20  sexy 20     150
		highafro		AFROHI		highafro	1		respect 15  sexy 0      150
		wedge			WEDGE       wedge       1		respect 20  sexy 20     150
