# Group							City	Models

CASUAL_RICH,					LS,		BFORI, BFYRI, BMORI, BMYRI, HFORI, HFYRI, HMORI, HMYRI, OFORI, OMYRI, OMORI, OFYRI, WFYRI, WMYRI, WMORI, WFORI, WMYBU, WFYBU
CASUAL_RICH,					SF,		SBFORI, SBFYRI, SBMORI, SBMYRI, HFORI, HFYRI, HMORI, HMYRI, SOFORI, SOMYRI, SOMORI, SOFYRI, SWFYRI, SWMYRI, SWMORI, SWFORI, WMYBU, WFYBU
CASUAL_RICH,					LV,		BFORI, BFYRI, BMORI, BMYRI, HFORI, HFYRI, HMORI, HMYRI, OFORI, OMYRI, OMORI, OFYRI, WFYRI, WMYRI, WMORI, WFORI, WMYBU, WFYBU, WMYVA
CASUAL_AVERAGE,					LS,		BMYDJ, BFYST, BMYST, BFOST, OMOST, OFYST, OMYST, HFYST, HMYST, HMOST, WFYST, WMYST, WMOST, SMYST, SMYST2
CASUAL_AVERAGE,					SF,		SBMOST, SBFYST, SBMYST, SOMOST, SOFYST, SOMYST, HFYST, HMYST, HMOST, SWFYST, SWMYST, WMOST
CASUAL_AVERAGE,					LV,		BFYST, BMYST, OMOST, OFYST, OMYST, HFYST, HMYST, HMOST, WFYST, WMYST, WMOST
CASUAL_POOR,					LS,		BFYST, BMYST, BMOTR1, BMYDJ, BMOST, HFYST, HMYST, HMOST, HFOST, OMYST, OFYST, OFOST, OMOST, OFYST, OMYST, WFYST, WFYST, WMYST, WMOST, WFOST, WMOTR1
CASUAL_POOR,					SF,		SBFOST, SBFYST, SBMYST, SOMYST, SOFYST, SOFOST, SOMOST, SOFYST, SOMYST, SWFYST, SWMOST, SWFOST, SWMYHP1, SWMYHP2, SBMOTR2, SWMOTR1, SWMOTR2, SWMOTR3, SBMYTR3, SWMOTR4, SWMOTR5
CASUAL_POOR,					LV,		VWMYCD, BMOST, BFYST, BMYST, HFYST, HMYST, HMOST, HFOST, OMYST, OFYST, OFOST, OMOST, OFYST, OMYST, WFYST, WFYST, WMYST, WMOST, VWMOTR1, VWMOTR2
PROSTITUTES,					LS,		BFYPRO, HFYPRO, WFYPRO, SFYPRO
PROSTITUTES,					SF,		SWFOPRO, SBFYPRO, SHFYPRO
PROSTITUTES,					LV,		VWFYPRO, VBFYPRO, VHFYPRO
CRIMINALS,						LS,		BMYCR, HMYCR, WMYCR
CRIMINALS,						SF,		SBMYCR, SHMYCR, SWMYCR
CRIMINALS,						LV,		VBMYCR, VHMYCR, VWMYCR
GOLFERS,								WMYGOL1, WMYGOL2
SERVANTS,						LS,		WMYVA, WBDYG1, WBDYG2, HMOGAR
SERVANTS,						SF,		WMYVA, WBDYG1, WBDYG2, HMOGAR
SERVANTS,						LV,		WMYVA, WBDYG1, WBDYG2, HMOGAR
AIRCREW,						LS,		BMYAP, WMYPLT, WFYSTEW
AIRCREW,						SF,		BMYAP, WMYPLT, WFYSTEW
AIRCREW,						LV,		BMYAP, WMYPLT, WFYSTEW
ENTERTAINERS,					LS,		BMYDJ
ENTERTAINERS,					SF,		BMYDJ
ENTERTAINERS,					LV,		VHMYELV, VBMYELV, VIMYELV
OUT_OF_TOWN_FACTORY_WORKERS,			WMYCON, WMYCONB, WMYMECH
DESERT_FOLK,							DWFOLC, DWFYLC1, DWFYLC2, DWMOLC1, DWMOLC2, DWMYLC1, DWMYLC2, DNFOLC1, DNFOLC2, DNFYLC, DNMOLC1, DNMOLC2, DNMYLC
AIRCREW_RUNWAY,							BMYAP, WMYPLT, WFYSTEW

GANG,	BALLAS,			BALLAS1, BALLAS2, BALLAS3
GANG,	FAMILIES,		FAM1, FAM2, FAM3
GANG,	VAGOS,			LSV1, LSV2, LSV3
GANG,	RIFA,			SFR1, SFR2, SFR3
GANG,	DA_NANG,		DNB1, DNB2, DNB3
GANG,	ITALIAN_MAFIA,	VMAFF1, VMAFF2, VMAFF3, VMAFF4
GANG,	TRIADS,			TRIADA, TRIADB, TRIBOSS
GANG,	AZTECAS,		VLA1, VLA2, VLA3
GANG,	RUSSIAN_MAFIA,	MAFFA, MAFFB, MAFBOSS
GANG,	BIKERS,			VLA1, VLA2, VLA3

DEALERS,		LS,		BMYDRUG, WMYDRUG, HMYDRUG
DEALERS,		SF,		BIKDRUG
SHOPKEEPERS,			WMYBU, BMYBU
OFFICE_WORKERS,			WMYBU, WFYBU, SOFYBU, BMYBU, BFYBU
HUSBANDS,				BMYBU, BMYCR, HMORI, OMOST, SWMYHP1
WIVES,					WFYRI, WFYST, HFYST, WFYRI, BFYBU, SOFYBU, BFYRI
